month,Year,Month,Remittance,,,
Jan,2012,2012-01,1208.39,,,
Feb,2012,2012-02,1133,,,
Mar,2012,2012-03,1109.1,,,
Apr,2012,2012-04,1083.9,,,
May,2012,2012-05,1156.8,,,
Jun,2012,2012-06,1070.9,,,
Jul,2012,2012-07,1201.2,,,
Aug,2012,2012-08,1178.7,,,
Sep,2012,2012-09,1178.8,,,
Oct,2012,2012-10,1453.7,,,
Nov,2012,2012-11,1102.2,,,
Dec,2012,2012-12,1287.3,,,
Jan,2013,2013-01,1327,,,
Feb,2013,2013-02,1163.2,,,
Mar,2013,2013-03,1229.4,,,
Apr,2013,2013-04,1194.4,,,
May,2013,2013-05,1087.2,,,
Jun,2013,2013-06,1058.2,,,
Jul,2013,2013-07,1239,,,
Aug,2013,2013-08,1005.8,,,
Sep,2013,2013-09,1025.69,,,
Oct,2013,2013-10,1230.68,,,
Nov,2013,2013-11,1061.45,,,
Dec,2013,2013-12,1210.21,,,
Jan,2014,2014-01,1260.66,,,
Feb,2014,2014-02,1173.13,,,
Mar,2014,2014-03,1288.62,,,
Apr,2014,2014-04,1230.57,,,
May,2014,2014-05,1215.83,,,
Jun,2014,2014-06,1286.37,,,
Jul,2014,2014-07,1491.35,,,
Aug,2014,2014-08,1160.06,,,
Sep,2014,2014-09,1344.27,,,
Oct,2014,2014-10,118.03,,,
Nov,2014,2014-11,1182.95,,,
Dec,2014,2014-12,1275.06,,,
Jan,2015,2015-01,1243.25,,,
Feb,2015,2015-02,1189.6,,,
Mar,2015,2015-03,1338.31,,,
Apr,2015,2015-04,1297.49,,,
May,2015,2015-05,1321.77,,,
Jun,2015,2015-06,1439.44,,,
Jul,2015,2015-07,1389.56,,,
Aug,2015,2015-08,1195.02,,,
Sep,2015,2015-09,1349.06,,,
Oct,2015,2015-10,1098.46,,,
Nov,2015,2015-11,1142.49,,,
Dec,2015,2015-12,1312.6,,,
Jan,2016,2016-01,1150.64,,,
Feb,2016,2016-02,1136.26,,,
Mar,2016,2016-03,1285.59,,,
Apr,2016,2016-04,1191.15,,,
May,2016,2016-05,1214.48,,,
Jun,2016,2016-06,1465.86,,,
Jul,2016,2016-07,1005.49,,,
Aug,2016,2016-08,1183.61,,,
Sep,2016,2016-09,1056.64,,,
Oct,2016,2016-10,1010.97,,,
Nov,2016,2016-11,951.37,,,
Dec,2016,2016-12,958.73,,,
Jan,2017,2017-01,1009.44,,,
Feb,2017,2017-02,940.75,,,
Mar,2017,2017-03,1077.52,,,
Apr,2017,2017-04,1092.64,,,
May,2017,2017-05,1267.61,,,
Jun,2017,2017-06,1214.61,,,
Jul,2017,2017-07,1115.57,,,
Aug,2017,2017-08,1418.58,,,
Sep,2017,2017-09,856.87,,,
Oct,2017,2017-10,1162.77,,,
Nov,2017,2017-11,1214.75,,,
Dec,2017,2017-12,1163.82,,,
Jan,2018,2018-01,1379.79,,,
Feb,2018,2018-02,1149.08,,,
Mar,2018,2018-03,1299.77,,,
Apr,2018,2018-04,1331.33,,,
May,2018,2018-05,1504.98,,,
Jun,2018,2018-06,1384.38,,,
Jul,2018,2018-07,1318.18,,,
Aug,2018,2018-08,1411.05,,,
Sep,2018,2018-09,1139.66,,,
Oct,2018,2018-10,1239.11,,,
Nov,2018,2018-11,1180.44,,,
Dec,2018,2018-12,1202.85,,,
Jan,2019,2019-01,1597.21,,,
Feb,2019,2019-02,1317.73,,,
Mar,2019,2019-03,1458.68,,,
Apr,2019,2019-04,1434.05,,,
May,2019,2019-05,1748.16,,,
Jun,2019,2019-06,1368.2,,,
Jul,2019,2019-07,1597.69,,,
Aug,2019,2019-08,1444.75,,,
Sep,2019,2019-09,1476.91,,,
Oct,2019,2019-10,1641.67,,,
Nov,2019,2019-11,1555.23,,,
Dec,2019,2019-12,1691.68,,,
Jan,2020,2020-01,1638.43,,,
Feb,2020,2020-02,1452.2,,,
Mar,2020,2020-03,1276.26,,,
Apr,2020,2020-04,1092.96,,,
May,2020,2020-05,1504.6,,,
Jun,2020,2020-06,1832.63,,,
Jul,2020,2020-07,2598.21,,,
Aug,2020,2020-08,1963.94,,,
Sep,2020,2020-09,2151.05,,,
